overtakes_per_lap,lead_changes_per_lap,weather_volatility,safety_car_freq,rating,gp_name,year,pit_stop_intensity,retirement_rate,championship_active,gap_before,gap_after,title_clinched,leader_changed,championship_tension
2.535211267605634,0.028169014084507,0.0,0.1690140845070422,6.79953560371517,Mexican Grand Prix,2018,0.4225352112676056,0.2,1,70.0,64.0,1,0,0.1026
2.4788732394366195,0.056338028169014,0.0,0.0,8.269108280254777,Brazilian Grand Prix,2018,0.380281690140845,0.1,0,64.0,81.0,0,0,0.0
2.963636363636364,0.0545454545454545,0.0,0.109090909090909,6.401345291479821,Abu Dhabi Grand Prix,2018,0.3636363636363636,0.25,0,81.0,88.0,0,0,0.0
1.6724137931034482,0.0344827586206896,0.0,0.0,6.019588953114965,Australian Grand Prix,2019,0.396551724137931,0.15,1,0.0,8.0,0,0,1.0
3.8596491228070176,0.0701754385964912,0.0,0.0175438596491228,8.852862254025045,Bahrain Grand Prix,2019,0.7368421052631579,0.2,1,8.0,1.0,0,0,0.9846
2.5,0.0,0.0,0.0714285714285714,2.484399375975039,Chinese Grand Prix,2019,0.7142857142857143,0.15,1,1.0,6.0,0,1,0.998
4.117647058823529,0.0588235294117647,0.0,0.0784313725490196,4.072280178837556,Azerbaijan Grand Prix,2019,0.5686274509803921,0.2,1,6.0,1.0,0,1,0.9872
1.7424242424242424,0.0,0.0,0.0303030303030303,3.021084337349398,Spanish Grand Prix,2019,0.5606060606060606,0.1,1,1.0,7.0,0,1,0.9977
1.1794871794871795,0.0,0.0,0.0256410256410256,5.547798066595059,Monaco Grand Prix,2019,0.3076923076923077,0.05,1,7.0,17.0,0,0,0.9832
1.8,0.0428571428571428,0.0,0.0,5.991271820448878,Canadian Grand Prix,2019,0.3285714285714285,0.1,1,17.0,29.0,0,0,0.9564
2.509433962264151,0.0,0.0,0.0754716981132075,1.7838874680306904,French Grand Prix,2019,0.4528301886792453,0.05,1,29.0,36.0,0,0,0.9203
2.112676056338028,0.056338028169014,0.0,0.0,9.65272856130404,Austrian Grand Prix,2019,0.323943661971831,0.0,1,36.0,31.0,0,0,0.8935
2.7115384615384617,0.0192307692307692,0.0,0.0384615384615384,8.960905349794238,British Grand Prix,2019,0.5961538461538461,0.15,1,31.0,39.0,0,0,0.9006
4.265625,0.046875,0.7195467422096318,0.296875,9.902356902356903,German Grand Prix,2019,1.21875,0.35,1,39.0,41.0,0,0,0.8636
1.9714285714285715,0.0428571428571428,0.0,0.0,7.135416666666666,Hungarian Grand Prix,2019,0.3571428571428571,0.05,1,41.0,62.0,0,0,0.8423
4.204545454545454,0.0681818181818181,0.0,0.0909090909090909,6.9787234042553195,Belgian Grand Prix,2019,0.5454545454545454,0.2,1,62.0,65.0,0,0,0.735
